Key,Item,Description
advocate_fane_auto_bestow_level,1,the level that advocates are automatically bestowed by Advocate Fane if advocate_fane_auto_bestow is true
thrown_damage,0,The amount of flat damage added to thrown weapons per tink. Note for each damage event the added damage will be randomized between 1 and this value. Default is 0.
unlocker_window,10,The number of seconds a player unlocking a chest has exclusive access to first opening the chest.
heavy_cb_damage,0,"The extra crit rating Heavy Weapons will get when imbued with CB. For every 1.0 added to this number, this equals 100 crit rating."
heavy_cs_damage,0.5,"The extra crit rating Heavy Weapons will get when imbued with CS. For every 1.0 added to this number, this equals 100 crit rating."
imbue_critical_strike_melee_scalar,1,Scales the effectiveness of Critical Strike Imbue for melee attacks at roughly max base skill. 1.0 = default effect. 2.0 = Crit chance double of what the player normally would have with a CS weapon
trophy_drop_rate,1,Modifier for trophies dropped on creature death
bow_damage,0,The amount of flat damage added to bow weapons per tink. Note for each damage event the added damage will be randomized between 1 and this value. Default is 0.
bow_cb_crit_rate,1,The amount that a bow with Crippling Blow will land a critical strike. Default is 0.05(5%). A value of 1.00 would be 100% crit strike chance. be CAREFUL
light_weapons_damage,0,The amount of flat damage added to light weapons per tink. Note for each damage event the added damage will be randomized between 1 and this value. Default is 0.
war_streak_spell_damage_modifier,1,
ignore_magic_resist_pvp_scalar,1,"Scales the effectiveness of IgnoreMagicResist (ie. hollow weapons) in pvp battles. 1.0 = full effectiveness / ignore all resistances from life enchantments (default), 0.5 = half effectiveness / use half resistances from life enchantments, 0.0 = no effectiveness / use full resistances from life enchantments"
thrown_cs_damage,0,"The extra crit rating Thrown Weapons will get when imbued with CS. For every 1.0 added to this number, this equals 100 crit rating."
light_cs_damage,0,"The extra crit rating Light Weapons will get when imbued with CS. For every 1.0 added to this number, this equals 100 crit rating."
finesse_cs_damage,0.5,"The extra crit rating Finesse Weapons will get when imbued with CS. For every 1.0 added to this number, this equals 100 crit rating."
heavy_cb_crit_rate,1,The amount that a heavy weapon with Crippling Blow will land a critical strike. Default is 0.05(5%). A value of 1.00 would be 100% crit strike chance. be CAREFUL
pk_new_character_grace_period,300,"the number of seconds, in addition to pk_respite_timer, that a player killer is set to non-player killer status after first exiting training academy"
bow_cs_damage,1,"The extra crit rating Bow will get when imbued with CS. For every 1.0 added to this number, this equals 100 crit rating."
pvp_ar_missile_cap,0.6,The cap on what proportion of armor can be reduced on missile AR. Should be between 0 and 1. Default is 0.6 for a 60% reduction in armor.
pk_respite_timer,300,the number of seconds that a player killer is set to non-player killer status after dying to another player killer
spellcast_max_angle,20,"for advanced player spell casting, the maximum angle to target release a spell projectile. retail seemed to default to value of around 20, although some players seem to prefer a higher 45 degree angle"
imbue_critical_strike_magic_scalar,1,Scales the effectiveness of Critical Strike Imbue for magic attacks at roughly max base skill. 1.0 = default effect. 2.0 = Crit chance double of what the player normally would have with a CS weapon
bow_cb_damage,1.2,"The extra crit rating Bow will get when imbued with CB. For every 1.0 added to this number, this equals 100 crit rating."
equipmentsetid_drop_rate,1,"Modifier for EquipmentSetID drop rate, 1 being normal"
void_streak_spell_damage_modifier,1,
thrown_cb_crit_rate,0.05,The amount that a thrown weapon with Crippling Blow will land a critical strike. Default is 0.05(5%). A value of 1.00 would be 100% crit strike chance. be CAREFUL
